created_on,source,industry
2017-04-16,Referral,SaaS
2017-04-16,Email,Retail/Entertainment
2017-04-16,Email,IT
2017-04-16,Referral,SaaS
2017-04-16,Email,IT
2017-04-16,Referral,SaaS
2017-04-16,Organic,Education
2017-04-16,Paid,Health Care
2017-04-16,Referral,Education
2017-04-16,Referral,Finance
2017-04-16,Email,Retail/Entertainment
2017-04-16,Paid,Telecom
2017-04-16,Email,Health Care
2017-04-16,Email,IT
2017-04-16,Social,Telecom
2017-04-16,Paid,SaaS
2017-04-16,Referral,Health Care
2017-04-16,Direct,Telecom
2017-04-16,Organic,SaaS
2017-04-16,Direct,Finance
2017-04-16,Direct,Finance
2017-04-16,Paid,Finance
2017-04-16,Direct,IT
2017-04-16,Paid,SaaS
2017-04-16,Paid,SaaS
2017-04-16,Paid,SaaS
2017-04-16,Referral,Health Care
2017-04-16,Organic,Telecom
2017-04-16,Email,Finance
2017-04-16,Paid,Education
2017-04-16,Referral,Telecom
2017-04-16,Email,Telecom
2017-04-16,Paid,Finance
2017-04-16,Organic,Health Care
2017-04-16,Direct,IT
2017-04-16,Direct,Education
2017-04-16,Direct,Finance
2017-04-16,Direct,Telecom
2017-04-16,Email,SaaS
2017-04-16,Direct,Health Care
2017-04-16,Email,Finance
2017-04-16,Email,Telecom
2017-04-16,Social,IT
2017-04-16,Social,Telecom
2017-04-16,Organic,Telecom
2017-04-16,Referral,Finance
2017-04-16,Social,Finance
2017-04-16,Referral,Telecom
2017-04-16,Email,SaaS
2017-04-16,Direct,SaaS
2017-04-16,Email,Education
2017-04-16,Social,IT
2017-04-16,Referral,SaaS
2017-04-16,Email,IT
2017-04-16,Direct,Education
2017-04-16,Paid,SaaS
2017-04-16,Referral,Retail/Entertainment
2017-04-16,Direct,Telecom
2017-04-16,Paid,Retail/Entertainment
2017-04-16,Social,Finance
2017-04-16,Direct,SaaS
2017-04-16,Social,IT
2017-04-17,Paid,Retail/Entertainment
2017-04-17,Organic,SaaS
2017-04-17,Email,Telecom
2017-04-17,Direct,Telecom
2017-04-17,Referral,SaaS
2017-04-17,Email,Telecom
2017-04-17,Email,SaaS
2017-04-17,Organic,IT
2017-04-17,Email,IT
2017-04-17,Organic,Retail/Entertainment
2017-04-17,Direct,IT
2017-04-17,Paid,IT
2017-04-17,Referral,SaaS
2017-04-17,Direct,Telecom
2017-04-17,Paid,Telecom
2017-04-17,Email,Retail/Entertainment
2017-04-17,Organic,Finance
2017-04-17,Email,Telecom
2017-04-17,Organic,Health Care
2017-04-17,Organic,Education
2017-04-17,Referral,Finance
2017-04-17,Organic,IT
2017-04-17,Email,Telecom
2017-04-17,Referral,IT
2017-04-17,Paid,Finance
2017-04-17,Paid,Health Care
2017-04-17,Paid,Telecom
2017-04-17,Paid,Finance
2017-04-17,Email,Finance
2017-04-17,Referral,Retail/Entertainment
2017-04-17,Direct,Telecom
2017-04-17,Direct,Telecom
2017-04-17,Email,Finance
2017-04-17,Social,Telecom
2017-04-17,Referral,Education
2017-04-17,Organic,IT
2017-04-17,Direct,SaaS
2017-04-17,Email,Education
2017-04-17,Paid,SaaS
2017-04-17,Paid,Retail/Entertainment
2017-04-17,Paid,IT
2017-04-17,Email,Finance
2017-04-17,Direct,SaaS
2017-04-17,Organic,SaaS
2017-04-17,Paid,Retail/Entertainment
2017-04-17,Direct,Health Care
2017-04-17,Referral,Health Care
2017-04-17,Organic,Telecom
2017-04-17,Paid,Retail/Entertainment
2017-04-17,Direct,Telecom
2017-04-17,Organic,Finance
2017-04-17,Referral,Finance
2017-04-17,Referral,SaaS
2017-04-17,Organic,Finance
2017-04-17,Social,Telecom
2017-04-17,Email,Telecom
2017-04-17,Referral,IT
2017-04-17,Paid,SaaS
2017-04-17,Email,Health Care
2017-04-17,Email,Retail/Entertainment
2017-04-17,Direct,Finance
2017-04-17,Organic,Education
2017-04-17,Email,Education
2017-04-17,Email,Finance
2017-04-17,Email,Finance
2017-04-17,Referral,Education
2017-04-17,Email,Telecom
2017-04-17,Direct,Retail/Entertainment
2017-04-17,Referral,Finance
2017-04-17,Organic,IT
2017-04-17,Organic,Education
2017-04-17,Paid,Finance
2017-04-17,Email,Telecom
2017-04-17,Referral,Education
2017-04-18,Organic,SaaS
2017-04-18,Social,IT
2017-04-18,Email,SaaS
2017-04-18,Direct,Education
2017-04-18,Paid,SaaS
2017-04-18,Organic,Health Care
2017-04-18,Referral,Health Care
2017-04-18,Social,Retail/Entertainment
2017-04-18,Referral,SaaS
2017-04-18,Organic,Telecom
2017-04-18,Social,Telecom
2017-04-18,Organic,Education
2017-04-18,Email,Retail/Entertainment
2017-04-18,Referral,SaaS
2017-04-18,Organic,SaaS
2017-04-18,Referral,Telecom
2017-04-18,Social,IT
2017-04-18,Direct,SaaS
2017-04-18,Organic,IT
2017-04-18,Email,IT
2017-04-18,Referral,Finance
2017-04-18,Social,SaaS
2017-04-18,Direct,Telecom
2017-04-18,Email,IT
2017-04-18,Direct,Retail/Entertainment
2017-04-18,Referral,SaaS
2017-04-18,Direct,SaaS
2017-04-18,Referral,Finance
2017-04-18,Paid,IT
2017-04-18,Organic,IT
2017-04-18,Organic,Finance
2017-04-18,Email,Finance
2017-04-18,Organic,Retail/Entertainment
2017-04-18,Email,Finance
2017-04-18,Social,Education
2017-04-18,Direct,Telecom
2017-04-18,Organic,Telecom
2017-04-18,Social,Finance
2017-04-18,Direct,Health Care
2017-04-18,Social,Telecom
2017-04-18,Social,SaaS
2017-04-18,Social,SaaS
2017-04-18,Social,Telecom
2017-04-18,Direct,IT
2017-04-18,Organic,Finance
2017-04-18,Direct,Retail/Entertainment
2017-04-18,Social,Health Care
2017-04-18,Direct,SaaS
2017-04-18,Direct,Retail/Entertainment
2017-04-18,Paid,Telecom
2017-04-19,Email,Finance
2017-04-19,Referral,Education
2017-04-19,Referral,Health Care
2017-04-19,Social,Retail/Entertainment
2017-04-19,Email,Finance
2017-04-19,Paid,Education
2017-04-19,Organic,Education
2017-04-19,Referral,SaaS
2017-04-19,Paid,Finance
2017-04-19,Email,Health Care
2017-04-19,Organic,Health Care
2017-04-19,Direct,SaaS
2017-04-19,Email,Health Care
2017-04-19,Paid,Health Care
2017-04-19,Direct,Retail/Entertainment
2017-04-19,Organic,SaaS
2017-04-19,Referral,Telecom
2017-04-19,Direct,SaaS
2017-04-19,Paid,Telecom
2017-04-19,Referral,SaaS
2017-04-19,Social,Health Care
2017-04-19,Organic,Telecom
2017-04-19,Organic,Retail/Entertainment
2017-04-19,Direct,SaaS
2017-04-19,Referral,Telecom
2017-04-19,Paid,SaaS
2017-04-19,Paid,Finance
2017-04-19,Social,SaaS
2017-04-19,Direct,Telecom
2017-04-19,Social,Telecom
2017-04-19,Email,Telecom
2017-04-19,Referral,Telecom
2017-04-19,Referral,SaaS
2017-04-19,Organic,Health Care
2017-04-19,Email,Health Care
2017-04-19,Paid,Finance
2017-04-19,Email,Retail/Entertainment
2017-04-19,Email,Telecom
2017-04-19,Social,Education
2017-04-19,Organic,SaaS
2017-04-19,Social,Finance
2017-04-19,Email,Health Care
2017-04-19,Organic,Education
2017-04-19,Referral,Retail/Entertainment
2017-04-19,Referral,SaaS
2017-04-19,Referral,Health Care
2017-04-19,Direct,Telecom
2017-04-19,Paid,Finance
2017-04-19,Organic,SaaS
2017-04-19,Referral,Telecom
2017-04-19,Organic,SaaS
2017-04-19,Referral,Finance
2017-04-19,Email,Health Care
2017-04-19,Direct,Telecom
2017-04-19,Email,Education
2017-04-19,Direct,Retail/Entertainment
2017-04-19,Organic,IT
2017-04-19,Social,Finance
2017-04-19,Social,SaaS
2017-04-19,Social,Finance
2017-04-19,Organic,SaaS
2017-04-19,Paid,Finance
2017-04-19,Email,Telecom
2017-04-19,Paid,Health Care
2017-04-19,Referral,Health Care
2017-04-19,Social,Health Care
2017-04-19,Organic,Telecom
2017-04-19,Organic,Telecom
2017-04-19,Organic,Health Care
2017-04-19,Direct,Finance
2017-04-19,Paid,IT
2017-04-20,Organic,SaaS
2017-04-20,Organic,Education
2017-04-20,Email,Education
2017-04-20,Organic,SaaS
2017-04-20,Organic,IT
2017-04-20,Organic,Retail/Entertainment
2017-04-20,Organic,Telecom
2017-04-20,Social,Health Care
2017-04-20,Organic,Education
2017-04-20,Email,Finance
2017-04-20,Organic,Education
2017-04-20,Email,Telecom
2017-04-20,Direct,Finance
2017-04-20,Paid,Telecom
2017-04-20,Social,SaaS
2017-04-20,Direct,SaaS
2017-04-20,Referral,IT
2017-04-20,Social,Telecom
2017-04-20,Direct,Finance
2017-04-20,Referral,Telecom
2017-04-20,Referral,SaaS
2017-04-20,Email,Finance
2017-04-20,Referral,Finance
2017-04-20,Direct,Health Care
2017-04-20,Direct,Retail/Entertainment
2017-04-20,Email,Education
2017-04-20,Organic,Education
2017-04-20,Email,IT
2017-04-20,Social,Education
2017-04-20,Referral,Finance
2017-04-20,Organic,SaaS
2017-04-20,Direct,Retail/Entertainment
2017-04-20,Social,IT
2017-04-20,Organic,SaaS
2017-04-20,Social,Retail/Entertainment
2017-04-20,Paid,IT
2017-04-20,Social,Health Care
2017-04-20,Email,Health Care
2017-04-20,Referral,Finance
2017-04-20,Direct,SaaS
2017-04-20,Organic,Retail/Entertainment
2017-04-20,Email,Telecom
2017-04-20,Direct,Education
2017-04-20,Direct,Health Care
2017-04-20,Direct,SaaS
2017-04-20,Referral,IT
2017-04-20,Direct,SaaS
2017-04-20,Referral,Telecom
2017-04-20,Paid,Health Care
2017-04-20,Direct,Retail/Entertainment
2017-04-20,Organic,Finance
2017-04-20,Direct,Health Care
2017-04-20,Organic,Telecom
2017-04-20,Referral,Telecom
2017-04-20,Social,Retail/Entertainment
2017-04-20,Direct,Finance
2017-04-20,Direct,SaaS
2017-04-20,Referral,IT
2017-04-20,Referral,SaaS
2017-04-20,Social,Retail/Entertainment
2017-04-20,Social,Telecom
2017-04-20,Direct,SaaS
2017-04-20,Social,Telecom
2017-04-20,Paid,IT
2017-04-20,Organic,SaaS
2017-04-20,Paid,Telecom
2017-04-20,Email,Health Care
2017-04-20,Referral,SaaS
2017-04-20,Referral,Health Care
2017-04-20,Direct,Education
2017-04-20,Organic,Education
2017-04-20,Referral,Education
2017-04-20,Email,Telecom
2017-04-20,Social,Education
2017-04-20,Referral,Education
2017-04-20,Referral,SaaS
2017-04-20,Email,Health Care
2017-04-20,Paid,SaaS
2017-04-20,Direct,Health Care
2017-04-20,Direct,Telecom
2017-04-20,Email,Health Care
2017-04-20,Organic,Health Care
2017-04-20,Email,SaaS
2017-04-20,Email,Finance
2017-04-20,Social,Health Care
2017-04-20,Direct,SaaS
2017-04-20,Organic,Education
2017-04-20,Organic,SaaS
2017-04-20,Organic,Education
2017-04-20,Email,Telecom
2017-04-20,Direct,SaaS
2017-04-20,Social,Retail/Entertainment
2017-04-20,Organic,SaaS
2017-04-20,Social,Telecom
2017-04-20,Social,Education
2017-04-20,Paid,IT
2017-04-20,Direct,Retail/Entertainment
2017-04-20,Referral,Health Care
2017-04-20,Referral,Education
2017-04-20,Email,Telecom
2017-04-20,Paid,Health Care
2017-04-20,Paid,Health Care
2017-04-20,Direct,Education
2017-04-20,Direct,Education
2017-04-20,Social,Education
2017-04-20,Paid,Retail/Entertainment
2017-04-20,Referral,Telecom
2017-04-20,Direct,Retail/Entertainment
2017-04-20,Email,Finance
2017-04-20,Paid,Health Care
2017-04-20,Email,Finance
2017-04-20,Paid,Education
2017-04-20,Social,Retail/Entertainment
2017-04-21,Social,Telecom
2017-04-21,Paid,Health Care
2017-04-21,Referral,Finance
2017-04-21,Organic,SaaS
2017-04-21,Email,Telecom
2017-04-21,Direct,Telecom
2017-04-21,Email,Telecom
2017-04-21,Paid,IT
2017-04-21,Social,Telecom
2017-04-21,Referral,Retail/Entertainment
2017-04-21,Organic,Health Care
2017-04-21,Organic,SaaS
2017-04-21,Referral,Telecom
2017-04-21,Referral,SaaS
2017-04-21,Email,Finance
2017-04-21,Social,Telecom
2017-04-21,Email,Telecom
2017-04-21,Organic,Telecom
2017-04-21,Paid,SaaS
2017-04-21,Email,Telecom
2017-04-21,Paid,Finance
2017-04-21,Social,Finance
2017-04-21,Direct,Finance
2017-04-21,Paid,Telecom
2017-04-21,Direct,IT
2017-04-21,Referral,Finance
2017-04-21,Referral,SaaS
2017-04-21,Email,SaaS
2017-04-21,Paid,SaaS
2017-04-21,Email,Telecom
2017-04-21,Direct,Health Care
2017-04-21,Referral,Education
2017-04-21,Email,Health Care
2017-04-21,Organic,Health Care
2017-04-21,Social,Telecom
2017-04-21,Social,Education
2017-04-21,Paid,Telecom
2017-04-21,Email,Finance
2017-04-21,Paid,Retail/Entertainment
2017-04-21,Paid,Telecom
2017-04-21,Paid,Telecom
2017-04-21,Organic,Finance
2017-04-21,Referral,Finance
2017-04-21,Paid,Telecom
2017-04-21,Email,Finance
2017-04-21,Social,Health Care
2017-04-21,Paid,IT
2017-04-21,Direct,Finance
2017-04-21,Direct,Retail/Entertainment
2017-04-21,Social,Telecom
2017-04-21,Social,IT
2017-04-21,Referral,IT
2017-04-21,Referral,Telecom
2017-04-21,Direct,Education
2017-04-21,Referral,SaaS
2017-04-21,Referral,IT
2017-04-21,Direct,IT
2017-04-21,Organic,Telecom
2017-04-21,Organic,Finance
2017-04-21,Social,Retail/Entertainment
2017-04-21,Paid,SaaS
2017-04-21,Organic,Telecom
2017-04-21,Email,Telecom
2017-04-21,Direct,SaaS
2017-04-21,Direct,Telecom
2017-04-21,Paid,Finance
2017-04-21,Organic,IT
2017-04-21,Paid,SaaS
2017-04-21,Email,SaaS
2017-04-21,Email,Education
2017-04-21,Email,Telecom
2017-04-21,Organic,Retail/Entertainment
2017-04-21,Email,Finance
2017-04-21,Organic,IT
2017-04-21,Social,Health Care
2017-04-22,Email,Education
2017-04-22,Referral,Finance
2017-04-22,Email,Finance
2017-04-22,Social,SaaS
2017-04-22,Paid,Finance
2017-04-22,Paid,Retail/Entertainment
2017-04-22,Direct,Health Care
2017-04-22,Paid,SaaS
2017-04-22,Direct,SaaS
2017-04-22,Paid,Education
2017-04-22,Paid,SaaS
2017-04-22,Organic,Finance
2017-04-22,Organic,IT
2017-04-22,Organic,SaaS
2017-04-22,Organic,IT
2017-04-22,Paid,Retail/Entertainment
2017-04-22,Direct,Telecom
2017-04-22,Paid,SaaS
2017-04-22,Organic,IT
2017-04-22,Referral,Retail/Entertainment
2017-04-22,Email,Health Care
2017-04-22,Referral,Education
2017-04-22,Email,Finance
2017-04-22,Referral,IT
2017-04-22,Social,Telecom
2017-04-22,Organic,Retail/Entertainment
2017-04-22,Email,SaaS
2017-04-22,Referral,IT
2017-04-22,Email,Finance
2017-04-22,Social,Telecom
2017-04-22,Social,Health Care
2017-04-22,Social,Education
2017-04-22,Paid,SaaS
2017-04-22,Direct,Retail/Entertainment
2017-04-22,Organic,Telecom
2017-04-22,Direct,Telecom
2017-04-22,Organic,Telecom
2017-04-22,Direct,Health Care
2017-04-22,Organic,Telecom
2017-04-22,Direct,IT
2017-04-22,Paid,Telecom
2017-04-22,Direct,SaaS
2017-04-22,Referral,IT
2017-04-22,Referral,SaaS
2017-04-22,Social,Retail/Entertainment
2017-04-22,Organic,Health Care
2017-04-22,Email,Finance
2017-04-22,Social,IT
2017-04-22,Referral,SaaS
2017-04-22,Paid,SaaS
2017-04-22,Social,Health Care
2017-04-22,Paid,SaaS
2017-04-22,Direct,Education
2017-04-22,Referral,SaaS
2017-04-22,Direct,SaaS
2017-04-22,Organic,Health Care
2017-04-22,Paid,Finance
2017-04-22,Social,IT
2017-04-22,Direct,Finance
2017-04-22,Social,Telecom
2017-04-22,Email,Telecom
2017-04-22,Paid,Finance
2017-04-22,Social,Education
2017-04-22,Referral,Telecom
2017-04-22,Organic,IT
2017-04-22,Social,Retail/Entertainment
2017-04-22,Direct,Telecom
2017-04-22,Direct,SaaS
2017-04-22,Social,IT
2017-04-22,Direct,Health Care
2017-04-22,Referral,Retail/Entertainment
2017-04-22,Direct,SaaS
2017-04-22,Paid,Finance
2017-04-22,Email,SaaS
2017-04-22,Email,Finance
2017-04-22,Email,Telecom
2017-04-23,Social,IT
2017-04-23,Referral,Finance
2017-04-23,Social,Finance
2017-04-23,Organic,Health Care
2017-04-23,Social,IT
2017-04-23,Social,Health Care
2017-04-23,Email,Education
2017-04-23,Paid,IT
2017-04-23,Organic,Finance
2017-04-23,Paid,Health Care
2017-04-23,Email,SaaS
2017-04-23,Email,Health Care
2017-04-23,Email,Finance
2017-04-23,Direct,Telecom
2017-04-23,Referral,Education
2017-04-23,Organic,SaaS
2017-04-23,Social,Telecom
2017-04-23,Direct,IT
2017-04-23,Paid,Health Care
2017-04-23,Direct,Education
2017-04-23,Direct,Retail/Entertainment
2017-04-23,Email,Health Care
2017-04-23,Organic,SaaS
2017-04-23,Organic,IT
2017-04-23,Referral,Education
2017-04-23,Email,Telecom
2017-04-23,Direct,SaaS
2017-04-23,Paid,Retail/Entertainment
2017-04-23,Email,IT
2017-04-23,Social,Retail/Entertainment
2017-04-23,Paid,Retail/Entertainment
2017-04-23,Referral,SaaS
2017-04-23,Email,Finance
2017-04-23,Referral,Health Care
2017-04-23,Direct,Retail/Entertainment
2017-04-23,Direct,SaaS
2017-04-23,Organic,Health Care
2017-04-23,Organic,Finance
2017-04-23,Social,IT
2017-04-23,Paid,SaaS
2017-04-23,Direct,Health Care
2017-04-23,Referral,Health Care
2017-04-23,Referral,SaaS
2017-04-23,Paid,Finance
2017-04-23,Social,Retail/Entertainment
2017-04-23,Direct,Education
2017-04-23,Direct,Health Care
2017-04-23,Referral,Telecom
2017-04-23,Direct,SaaS
2017-04-23,Organic,Education
2017-04-23,Social,IT
2017-04-23,Email,SaaS
2017-04-23,Paid,Telecom
2017-04-23,Paid,Retail/Entertainment
2017-04-23,Email,Finance
2017-04-23,Organic,SaaS
2017-04-23,Social,Telecom
2017-04-23,Social,Telecom
2017-04-23,Paid,Telecom
2017-04-23,Email,SaaS
2017-04-23,Social,Telecom
2017-04-23,Paid,SaaS
2017-04-23,Direct,Finance
2017-04-23,Direct,SaaS
2017-04-23,Social,Telecom
2017-04-23,Referral,Retail/Entertainment
2017-04-23,Organic,Retail/Entertainment
2017-04-23,Referral,Health Care
2017-04-23,Social,Retail/Entertainment
2017-04-23,Organic,Finance
2017-04-23,Organic,SaaS
2017-04-23,Email,Finance
2017-04-23,Social,IT
2017-04-23,Referral,Finance
2017-04-23,Organic,Retail/Entertainment
2017-04-23,Direct,Retail/Entertainment
2017-04-23,Organic,SaaS
2017-04-23,Organic,Telecom
2017-04-23,Direct,Health Care
2017-04-23,Referral,Finance
2017-04-23,Direct,Education
2017-04-23,Referral,Finance
2017-04-23,Organic,Telecom
2017-04-23,Referral,IT
2017-04-23,Referral,Health Care
2017-04-23,Direct,Retail/Entertainment
2017-04-23,Email,Telecom
2017-04-24,Referral,Telecom
2017-04-24,Organic,Health Care
2017-04-24,Paid,Health Care
2017-04-24,Paid,IT
2017-04-24,Organic,Telecom
2017-04-24,Social,IT
2017-04-24,Organic,Health Care
2017-04-24,Referral,Health Care
2017-04-24,Social,Retail/Entertainment
2017-04-24,Email,SaaS
2017-04-24,Social,Education
2017-04-24,Social,Telecom
2017-04-24,Social,Health Care
2017-04-24,Social,Education
2017-04-24,Social,Telecom
2017-04-24,Direct,SaaS
2017-04-24,Email,Telecom
2017-04-24,Organic,IT
2017-04-24,Paid,IT
2017-04-24,Email,Finance
2017-04-24,Organic,SaaS
2017-04-24,Email,IT
2017-04-24,Direct,SaaS
2017-04-24,Paid,SaaS
2017-04-24,Email,Finance
2017-04-24,Direct,IT
2017-04-24,Social,Retail/Entertainment
2017-04-24,Email,Telecom
2017-04-24,Social,Education
2017-04-24,Email,IT
2017-04-24,Referral,Education
2017-04-24,Organic,Retail/Entertainment
2017-04-24,Organic,Finance
2017-04-24,Organic,IT
2017-04-24,Paid,Finance
2017-04-24,Referral,IT
2017-04-24,Paid,Retail/Entertainment
2017-04-24,Organic,IT
2017-04-24,Organic,Finance
2017-04-24,Organic,Education
2017-04-24,Referral,Health Care
2017-04-24,Paid,Finance
2017-04-24,Paid,Health Care
2017-04-24,Organic,Education
2017-04-24,Referral,SaaS
2017-04-24,Paid,Retail/Entertainment
2017-04-24,Email,SaaS
2017-04-24,Email,Finance
2017-04-24,Email,Finance
2017-04-24,Referral,Telecom
2017-04-24,Social,Health Care
2017-04-24,Referral,Finance
2017-04-24,Referral,Health Care
2017-04-24,Paid,Finance
2017-04-24,Organic,Education
2017-04-24,Organic,Education
2017-04-24,Direct,Telecom
2017-04-24,Direct,SaaS
2017-04-24,Paid,Retail/Entertainment
2017-04-24,Referral,Telecom
2017-04-24,Organic,Retail/Entertainment
2017-04-24,Referral,Finance
2017-04-24,Direct,SaaS
2017-04-24,Organic,IT
2017-04-24,Social,Education
2017-04-24,Paid,SaaS
2017-04-24,Referral,Health Care
2017-04-24,Social,Finance
2017-04-24,Referral,Education
2017-04-24,Paid,Telecom
2017-04-24,Social,Telecom
2017-04-24,Organic,Health Care
2017-04-24,Paid,Telecom
2017-04-24,Social,Finance
2017-04-24,Direct,Finance
2017-04-24,Social,Education
2017-04-24,Organic,Health Care
2017-04-24,Social,SaaS
2017-04-24,Direct,SaaS
2017-04-24,Organic,SaaS
2017-04-24,Paid,Telecom
2017-04-24,Email,Telecom
2017-04-24,Referral,Education
2017-04-24,Referral,IT
2017-04-24,Social,Telecom
2017-04-24,Direct,IT
2017-04-25,Social,SaaS
2017-04-25,Direct,IT
2017-04-25,Social,Health Care
2017-04-25,Referral,Finance
2017-04-25,Organic,Health Care
2017-04-25,Organic,Health Care
2017-04-25,Paid,Telecom
2017-04-25,Direct,SaaS
2017-04-25,Social,IT
2017-04-25,Direct,IT
2017-04-25,Direct,Telecom
2017-04-25,Organic,Education
2017-04-25,Referral,Retail/Entertainment
2017-04-25,Direct,Finance
2017-04-25,Direct,Health Care
2017-04-25,Paid,Finance
2017-04-25,Direct,SaaS
2017-04-25,Social,Health Care
2017-04-25,Direct,Telecom
2017-04-25,Social,IT
2017-04-25,Email,Finance
2017-04-25,Email,IT
2017-04-25,Email,Telecom
2017-04-25,Direct,Retail/Entertainment
2017-04-25,Paid,Telecom
2017-04-25,Paid,IT
2017-04-25,Paid,SaaS
2017-04-25,Referral,Health Care
2017-04-25,Paid,IT
2017-04-25,Email,Finance
2017-04-25,Paid,SaaS
2017-04-25,Paid,SaaS
2017-04-25,Direct,IT
2017-04-25,Social,Retail/Entertainment
2017-04-25,Social,SaaS
2017-04-25,Referral,IT
2017-04-25,Referral,SaaS
2017-04-25,Social,IT
2017-04-25,Direct,Retail/Entertainment
2017-04-25,Referral,IT
2017-04-25,Email,Telecom
2017-04-25,Social,SaaS
2017-04-25,Email,Telecom
2017-04-25,Email,Education
2017-04-25,Email,SaaS
2017-04-25,Referral,Finance
2017-04-25,Email,Health Care
2017-04-25,Organic,SaaS
2017-04-25,Organic,Telecom
2017-04-25,Paid,Telecom
2017-04-25,Organic,Finance
2017-04-25,Referral,Finance
2017-04-25,Paid,Retail/Entertainment
2017-04-25,Email,Health Care
2017-04-25,Email,IT
2017-04-25,Organic,SaaS
2017-04-25,Paid,Telecom
2017-04-25,Organic,Finance
2017-04-25,Referral,Education
2017-04-25,Organic,SaaS
2017-04-25,Email,Education
2017-04-25,Email,SaaS
2017-04-25,Direct,Health Care
2017-04-25,Paid,Retail/Entertainment
2017-04-25,Social,Telecom
2017-04-25,Paid,IT
2017-04-25,Paid,Telecom
2017-04-25,Social,Telecom
2017-04-25,Social,SaaS
2017-04-26,Email,SaaS
2017-04-26,Email,Telecom
2017-04-26,Paid,Health Care
2017-04-26,Paid,SaaS
2017-04-26,Paid,IT
2017-04-26,Paid,Telecom
2017-04-26,Organic,IT
2017-04-26,Paid,SaaS
2017-04-26,Paid,Finance
2017-04-26,Referral,Health Care
2017-04-26,Direct,Retail/Entertainment
2017-04-26,Social,Finance
2017-04-26,Paid,Finance
2017-04-26,Paid,Retail/Entertainment
2017-04-26,Social,Finance
2017-04-26,Social,Finance
2017-04-26,Paid,Health Care
2017-04-26,Email,Finance
2017-04-26,Social,IT
2017-04-26,Email,Health Care
2017-04-26,Referral,Health Care
2017-04-26,Direct,SaaS
2017-04-26,Email,IT
2017-04-26,Social,Finance
2017-04-26,Organic,Health Care
2017-04-26,Referral,Finance
2017-04-26,Social,Health Care
2017-04-26,Social,Telecom
2017-04-26,Email,Telecom
2017-04-26,Social,Retail/Entertainment
2017-04-26,Referral,Finance
2017-04-26,Paid,Health Care
2017-04-26,Direct,SaaS
2017-04-26,Organic,SaaS
2017-04-26,Organic,SaaS
2017-04-26,Social,IT
2017-04-26,Email,Education
2017-04-26,Referral,SaaS
2017-04-26,Referral,SaaS
2017-04-26,Email,Retail/Entertainment
2017-04-26,Referral,Retail/Entertainment
2017-04-26,Referral,Health Care
2017-04-26,Organic,SaaS
2017-04-26,Referral,Health Care
2017-04-26,Direct,Telecom
2017-04-26,Email,Retail/Entertainment
2017-04-26,Organic,SaaS
2017-04-26,Email,Education
2017-04-26,Social,Retail/Entertainment
2017-04-26,Social,Telecom
2017-04-26,Organic,Finance
2017-04-26,Email,Finance
2017-04-26,Direct,SaaS
2017-04-26,Organic,Health Care
2017-04-26,Referral,Health Care
2017-04-26,Email,IT
2017-04-26,Direct,Finance
2017-04-26,Organic,Telecom
2017-04-26,Referral,Health Care
2017-04-26,Organic,SaaS
2017-04-26,Direct,Health Care
2017-04-26,Direct,SaaS
2017-04-26,Email,IT
2017-04-26,Direct,Health Care
2017-04-26,Referral,Finance
2017-04-26,Social,Retail/Entertainment
2017-04-26,Referral,Finance
2017-04-26,Social,Finance
2017-04-26,Direct,IT
2017-04-26,Paid,Telecom
2017-04-26,Direct,Health Care
2017-04-26,Organic,Education
2017-04-26,Direct,SaaS
2017-04-26,Social,Retail/Entertainment
2017-04-26,Referral,SaaS
2017-04-26,Organic,Telecom
2017-04-26,Social,Retail/Entertainment
2017-04-26,Referral,Retail/Entertainment
2017-04-26,Direct,SaaS
2017-04-26,Social,SaaS
2017-04-26,Social,Retail/Entertainment
2017-04-26,Paid,IT
2017-04-26,Email,IT
2017-04-26,Email,SaaS
2017-04-26,Direct,Retail/Entertainment
2017-04-26,Paid,Health Care
2017-04-26,Social,IT
2017-04-26,Referral,SaaS
2017-04-26,Email,Telecom
2017-04-26,Direct,Health Care
2017-04-26,Social,Retail/Entertainment
2017-04-26,Social,Telecom
2017-04-26,Social,Retail/Entertainment
2017-04-26,Direct,Health Care
2017-04-26,Paid,Telecom
2017-04-26,Direct,Telecom
2017-04-26,Direct,Finance
2017-04-26,Organic,Finance
2017-04-26,Paid,Education
2017-04-26,Direct,Retail/Entertainment
2017-04-26,Referral,Finance
2017-04-26,Paid,Telecom
2017-04-26,Referral,Telecom
2017-04-26,Paid,Health Care
2017-04-26,Email,Telecom
2017-04-26,Social,Finance
2017-04-26,Organic,Health Care
2017-04-26,Paid,Telecom
2017-04-26,Email,Retail/Entertainment
2017-04-26,Direct,Telecom
2017-04-26,Email,Health Care
2017-04-26,Paid,SaaS
2017-04-26,Referral,SaaS
2017-04-26,Paid,SaaS
2017-04-26,Social,IT
2017-04-26,Social,Telecom
2017-04-26,Paid,Education
2017-04-27,Organic,IT
2017-04-27,Email,SaaS
2017-04-27,Paid,Retail/Entertainment
2017-04-27,Referral,IT
2017-04-27,Direct,Finance
2017-04-27,Organic,IT
2017-04-27,Referral,IT
2017-04-27,Referral,SaaS
2017-04-27,Direct,Health Care
2017-04-27,Organic,Finance
2017-04-27,Organic,Telecom
2017-04-27,Email,SaaS
2017-04-27,Organic,SaaS
2017-04-27,Paid,IT
2017-04-27,Email,Telecom
2017-04-27,Paid,Education
